filename,cloud_cover,clear_pixel_count_pt,count_orbit_pixels_pt,cloud_cover_pt
S2B_MSIL2A_20230810T113329_N0510_R080_T29SMD_20241015T204335,1.189751,40660360,40692604,0
S2A_MSIL2A_20230812T112121_N0510_R037_T29SMD_20241016T022938,1.056518,40402624,42427020,5
S2A_MSIL2A_20230815T113321_N0510_R080_T29SMD_20241016T040753,49.267176,27854543,40982923,32
S2B_MSIL2A_20230817T112119_N0510_R037_T29SMD_20241025T095049,0.085468,42416806,42427020,0
S2B_MSIL2A_20230820T113319_N0510_R080_T29SMD_20241022T134802,5.782646,40649666,40679720,0
S2A_MSIL2A_20230822T112121_N0510_R037_T29SMD_20241015T035623,0.172133,41379808,42435943,2
S2A_MSIL2A_20230825T113321_N0510_R080_T29SMD_20241015T171206,39.91119,25038366,41029804,39
S2B_MSIL2A_20230827T112119_N0510_R037_T29SMD_20241023T220427,1.080216,42369198,42429339,0
S2B_MSIL2A_20230830T113319_N0510_R080_T29SMD_20241022T141244,23.220412,39687928,40588339,2
S2A_MSIL2A_20230901T112121_N0510_R037_T29SMD_20241024T010739,75.900114,---,---,---
S2A_MSIL2A_20230904T113321_N0510_R080_T29SMD_20241104T165346,99.119222,---,---,---
S2B_MSIL2A_20230906T112119_N0511_R037_T29SMD_20250807T203648,74.019819,---,---,---
S2B_MSIL2A_20230909T113319_N0510_R080_T29SMD_20241104T210931,21.026009,20298671,40490195,50
S2A_MSIL2A_20230911T112121_N0510_R037_T29SMD_20241104T064842,25.709233,---,---,---
S2A_MSIL2A_20230914T113321_N0510_R080_T29SMD_20241018T021459,24.293439,31032872,40578593,24
S2B_MSIL2A_20230916T112119_N0510_R037_T29SMD_20241031T140235,31.124061,---,---,---
S2B_MSIL2A_20230919T113319_N0510_R080_T29SMD_20241025T124706,0.948509,37686376,40724798,7
S2A_MSIL2A_20230921T112111_N0510_R037_T29SMD_20241025T201425,94.04642,---,---,---
S2A_MSIL2A_20230924T113321_N0510_R080_T29SMD_20241027T035837,9.284856,40469223,40770028,1
S2B_MSIL2A_20230926T112119_N0510_R037_T29SMD_20241026T031603,0.73115,42020632,42427020,1
S2B_MSIL2A_20230929T113319_N0510_R080_T29SMD_20241105T210500,30.736896,40661085,40849972,0
S2A_MSIL2A_20231001T112121_N0510_R037_T29SMD_20241031T203532,1.004282,42426885,42427020,0
S2A_MSIL2A_20231004T113321_N0510_R080_T29SMD_20241108T170204,21.773902,37814039,40841524,7
S2B_MSIL2A_20231006T112119_N0510_R037_T29SMD_20241103T030731,12.324004,40267661,42426988,5
S2B_MSIL2A_20231009T113319_N0510_R080_T29SMD_20241108T203050,17.657451,40946692,40946960,0
S2A_MSIL2A_20231011T112111_N0510_R037_T29SMD_20241101T135602,26.480809,41747232,42427020,2
S2A_MSIL2A_20231014T113321_N0510_R080_T29SMD_20241106T042417,49.220026,---,---,---
S2B_MSIL2A_20231016T112119_N0510_R037_T29SMD_20241101T133002,99.804926,---,---,---
S2B_MSIL2A_20231019T113319_N0510_R080_T29SMD_20241102T130716,99.791378,---,---,---
S2A_MSIL2A_20231021T112111_N0510_R037_T29SMD_20241102T195804,90.605652,---,---,---
S2A_MSIL2A_20231024T113321_N0510_R080_T29SMD_20241107T060427,97.349513,---,---,---
S2B_MSIL2A_20231026T112119_N0510_R037_T29SMD_20241108T102655,100,---,---,---
S2B_MSIL2A_20231029T113319_N0510_R080_T29SMD_20241108T104254,97.851962,---,---,---
